t_fill_s,fillrate_bar_s,T_peak_K,DeltaT_peak_K
180,3.9874444444444443,418.6469572167877,127.49695721678773
245,2.929551020408163,415.11360936442907,123.96360936442909
330,2.174969696969697,410.8220047937803,119.67200479378033
450,1.5949777777777778,405.300773409632,114.150773409632
600,1.1962333333333333,399.1380850477682,107.98808504776821
